canonical_name,display_name,type,occurrences,distinct_works,cross_work,page_refs,name_variants,description
tyaurax,Tyaurax,spirit,1,kieckhefer_clm849,,351r,,"quote: ""...Tyaurax."""
tyboel,Tyboel,spirit,1,kieckhefer_clm849,,352r,,"quote: ""...Gerotal, Tyboel, Galtym."""
tymelyy,Tymelyy,spirit,1,kieckhefer_clm849,,352r,,"quote: ""...Serbaton, Tymelyy, Gerotal..."""
typhon,Typhon,spirit,1,garnier_1909,,300–302,,role: adversary/enemy of Osiris
tyroces,Tyroces,spirit,2,kieckhefer_clm849,,167,,role: demonic name invoked for power
tyroy,Tyroy,spirit,3,kieckhefer_clm849,,"21v|p. 207|p. 258, n.c",,role: demonic spirit; named in protective circle figure · rank: spiritus habitatores aque
uralchim,Uralchim,spirit,1,kieckhefer_clm849,,[97v],,"quote: ""Uralchim, Althes, Panite, Fabar..."""
uriel,Uriel,spirit,3,liber_juratus,,178|298-299|319,,role: archangel intercessor; Superior angel; archangel/higher angel
"uriel, raguel, seraqael, haniel","Uriel, Raguel, Seraqael, Haniel",spirit,1,kieckhefer_clm849,,p. 189,,"quote: ""The Book of Enoch adds Uriel, Raguel, Seraqael and Haniel… Adalbert was condemned… for praying to Uriel, Rague"""
usyr,Usyr,spirit,1,kieckhefer_clm849,,,,function: castle conjurer · rank: squire spirit
"usyr, salaul, silitor, demor, zanno, syrtroy, risbel, cutroy, lytay, onor, moloy, pumotor, tami, oor, ym","Usyr, Salaul, Silitor, Demor, Zanno, Syrtroy, Risbel, Cutroy, Lytay, Onor, Moloy, Pumotor, Tami, Oor, Ym",spirit,1,kieckhefer_clm849,,no. 7,,function: to bear arms and deceive human senses; to make fortifications and castles appear · nature: squire spirits
va,Va,spirit,1,kieckhefer_clm849,,49v,,role: one of 12 names
vabros,Vabros,spirit,1,kieckhefer_clm849,,p. 350 (83v),,role: one of six names inscribed on reptile-fugation image
vagianus,Vagianus,spirit,1,scot_1584,,page 524,,"description: he that kept their children from crieng, [and] whose picture was hung about babes necks"
vambal,Vambal,spirit,1,kieckhefer_clm849,,361,,role: coadjutor of Sunday’s king
varo,Varo,spirit,1,kieckhefer_clm849,,56r,,role: part of four-letter divine name formula
vasas,Vasas,spirit,1,kieckhefer_clm849,,p. 350 (83v),,role: one of seven names inscribed on night image 2
vatuel,Vatuel,spirit,1,kieckhefer_clm849,,49v,,role: one of 12 names
vegeido,Vegeido,spirit,1,kieckhefer_clm849,,58v,,role: mysterious divine name
venus,Venus,spirit,2,kieckhefer_clm849|liber_juratus,yes,"30|p. 79-81, 86, 87, 106, 177 (index)",,functions: used in planetary magic · rank: planet
verbum,Verbum,spirit,2,kieckhefer_clm849,,"[98r]|[98r], [102r]",,"quote: ""Os, Verbum, Ianua..."""
verbum / salus / angelus / sponsus,Verbum / Salus / Angelus / Sponsus,spirit,1,kieckhefer_clm849,,57v–58r,,role: biblical titles of Christ invoked as divine names
veritas,Veritas,spirit,2,kieckhefer_clm849,,[98r],,"quote: ""...Ve- [98r] ritas, Sapiencia..."""
vermis / athanatos / kyrios,Vermis / Athanatos / Kyrios,spirit,1,kieckhefer_clm849,,57v–58r,,role: biblical titles of Christ invoked as divine names
via,Via,spirit,1,kieckhefer_clm849,,[98r],,"quote: ""Via, Flos, Fons..."""
virgin mary (feast of the assumption),Virgin Mary (feast of the Assumption),spirit,1,kieckhefer_clm849,,p.154–155,,role: celebrated saint
virtues,Virtues,spirit,2,liber_juratus,,18|61,,"quote: ""Cherubim, Seraphim, Thrones, Dominations, Virtues, Principalities, Powers, Archangels, and Angels."""
virtus,Virtus,spirit,2,kieckhefer_clm849,,[98r],,"quote: ""...Sapiencia, Virtus, Paraclitus..."""
virtutes,virtutes,spirit,2,kieckhefer_clm849|scot_1584,yes,[54v]|page 685,Virtutes|virtutes,description: The order of angels so called. · function: celestial order invoked in consecration · rank: angelic hierarchy
virtutes celestes,virtutes celestes,spirit,1,kieckhefer_clm849,,[54v],,function: celestial powers that assist in consecration · rank: angelic hierarchy
visio,Visio,spirit,1,kieckhefer_clm849,,[102r],,"quote: ""Theos, Eton,- Visio, Saluator..."""
vita,Vita,spirit,2,kieckhefer_clm849,,[98r],,"quote: ""Primogenitus, Vita, Finis..."""
vitulus,Vitulus,spirit,2,kieckhefer_clm849,,[98r],,"quote: ""Ouis, Vitulus, Serpens..."""
vitulus / serpens / aries / leo,Vitulus / Serpens / Aries / Leo,spirit,1,kieckhefer_clm849,,57v–58r,,role: biblical typologies of Christ invoked as divine names
vmeloth,Vmeloth,spirit,2,kieckhefer_clm849,,p. 97,,function: inscribed on image to gain favour · role: benevolent spirit who sows concord; demonic name inscribed on image in experiment no. 4
vmeloth (umeloth),Vmeloth (Umeloth),spirit,1,kieckhefer_clm849,,fol. 12r–13r,,function: appears in image ritual · rank: spiritus benignissimi
vmon,Vmon,spirit,2,kieckhefer_clm849,,"[97v]|section 7, Demons and Daimons",,rank: demon
"vmon, progemon, mithiomo, pist, vralchim, althes, panite, fabar, thobar, cormes, felsmes, diles, dilia, dies, onaris","Vmon, Progemon, Mithiomo, Pist, Vralchim, Althes, Panite, Fabar, Thobar, Cormes, Felsmes, Diles, Dilia, Dies, Onaris",spirit,1,kieckhefer_clm849,,p. 371 (97r),,role: demons conjured by name in first incantation
volach,Volach,spirit,3,kieckhefer_clm849,,65v–65r bis|66v|Table D (no. 34),,"function: gives excellent physician for women, making them burn with love for men; transforms them until they come to their beloved; makes sterile; reveals hidden treasures; commands serpents; commands 27 legions · rank: president; magnus preses · appearance: boy with wings of an angel, riding on a dragon with two heads; in forma pueri, et habet alas ad modum angeli"
vralchim,Vralchim,spirit,1,kieckhefer_clm849,,"section 7, Demons and Daimons",,rank: demon
vriel,Vriel,spirit,2,kieckhefer_clm849,,231–232|fol 3r,,function: invoked in chain of binding names · role: divine name in chain of invocations
vrlacafel,Vrlacafel,spirit,2,kieckhefer_clm849,,76v|p. 342,,role: angelus assistens diei dominici · rank: angel
vsion / vsyion,Vsion / Vsyion,spirit,1,kieckhefer_clm849,,57v–58r,,role: mysterious divine name
vsobel,Vsobel,spirit,2,kieckhefer_clm849,,231–232|fol 3r,,function: invoked in chain of binding names · role: divine name in chain of invocations
vsuel,Vsuel,spirit,3,kieckhefer_clm849,,166|63r,,function: obedience demanded in conjuration · rank: demonic ruler; spirit
vsy / vsyion,Vsy / Vsyion,spirit,1,kieckhefer_clm849,,58v,,role: variant of Vsion/Vsyion
vsyr,Vsyr,spirit,2,kieckhefer_clm849,,fol. 18v–19r|p. 252–254,,function: invoked in castle ritual · role: one of fifteen spirits invoked for castle ritual · rank: spiritus armigeri
"vsyr, salaul, silitor, demor, zanno, syrtroy, risbel, cutroy, lytay, onor, moloy, pumotor, tami, oor, ym","Vsyr, Salaul, Silitor, Demor, Zanno, Syrtroy, Risbel, Cutroy, Lytay, Onor, Moloy, Pumotor, Tami, Oor, Ym",spirit,2,kieckhefer_clm849,,n/a (example from no. 7)|p.157,,function: bear arms and deceive human senses · role: arms-bearing spirits · rank: arms-bearing spirits
vynicon,Vynicon,spirit,2,kieckhefer_clm849,,p. 102,,role: one of four spirits governing quadrants; companion spirit to Astaroth in conjuration
vzmyas,Vzmyas,spirit,1,kieckhefer_clm849,,[102v],,"quote: ""...Andyron, Vzmyas, Ytelteos..."""
water spirits,Water Spirits,spirit,1,scot_1584,,page 471,,description: Spirits residing in ships and rocks of the sea.
water-dwellers,Water-dwellers,spirit,1,kieckhefer_clm849,,p. 185–186,,role: endanger ships
wiez,Wiez,spirit,1,kieckhefer_clm849,,p. 350 (83v),,role: one of six names inscribed on reptile-fugation image
wodan (mexican deity),Wodan (Mexican deity),spirit,1,garnier_1909,,p. 184,,role: ancestral god
woden,Woden,spirit,1,garnier_1909,,99-132,,"role: author of sacred books, inventor of letters, god of Magic, conductor of dead"
ya / yayay,Ya / Yayay,spirit,1,kieckhefer_clm849,,58v,,role: divine name variants
yada,Yada,spirit,1,kieckhefer_clm849,,358,,role: blessed name of the Lord invoked in Saturday's conjuration
yafaa,Yafaa,spirit,1,kieckhefer_clm849,,concord ritual,,role: conjured angel
"yafaa, safaa, alleya, hayala, haya, halix, hayul, ataya, hytoia, saffetaba","Yafaa, Safaa, Alleya, Hayala, Haya, Halix, Hayul, Ataya, Hytoia, Saffetaba",spirit,1,kieckhefer_clm849,,no. 37q,,role: names in conjuration for concord
yaffla,Yaffla,spirit,1,kieckhefer_clm849,,358,,role: blessed name of the Lord invoked in Saturday's conjuration
yama,Yama,spirit,1,garnier_1909,,p. 139,,"role: judge of the dead, king of Hades"
yamhor,Yamhor,spirit,1,kieckhefer_clm849,,363,,role: one of four names of the North
yammax,Yammax,spirit,1,liber_juratus,,296-297,,role: King of the South
yan,Yan,spirit,1,kieckhefer_clm849,,p. 343–344,,role: ruler of secunda hora diei
yan (hour name),Yan (hour name),spirit,1,kieckhefer_clm849,,77r,,"function: amicicia, grace · rank: hour ruler"
yaneaa,Yaneaa,spirit,1,kieckhefer_clm849,,362,,role: earth’s name in the 4th season (variant)
yaspel,Yaspel,spirit,2,kieckhefer_clm849,,361|p. [92v],,role: angelus diei; second day’s angel
yayn,Yayn,spirit,2,kieckhefer_clm849,,361|p. 343–344,,role: ruler of prima hora diei; angel of the first hour (day)
yayn (hour name),Yayn (hour name),spirit,1,kieckhefer_clm849,,77r,,function: bind tongues · rank: hour ruler
yca,Yca,spirit,1,kieckhefer_clm849,,357,,role: invoked in Friday's conjuration (repeated)
yegeron,Yegeron,spirit,1,kieckhefer_clm849,,167,,"quote: ""Ygeron, by which he divided the Red Sea"""
yemat,Yemat,spirit,1,kieckhefer_clm849,,362,,role: earth’s name in the 4th season
yfla,Yfla,spirit,1,kieckhefer_clm849,,362,,role: invoked in Saturday’s second conjuration
ygrim,Ygrim,spirit,1,kieckhefer_clm849,,[102v],,"quote: ""Lytim, cum tuis subditis Ygrim, Andyron..."""
yhah (yhwh-related),Yhah (YHWH-related),spirit,1,kieckhefer_clm849,,69r,,function: used in Sol conjuration · rank: divine name
"yhwh-related names (eye, yhaa, etc.)","Yhwh-related names (Eye, Yhaa, etc.)",spirit,1,kieckhefer_clm849,,69r,,function: used in conjurations · rank: divine name
ym,Ym,spirit,6,kieckhefer_clm849,,"20r|CLM 849, experiment no. 7; footnote 16|p. 207|p. 252–254|section 7, Demons and Daimons",,function: castle conjurer · role: spiritus armigeri; one of fifteen spirits invoked for castle ritual · rank: squire spirit; spiritus armigeri
ymago,Ymago,spirit,1,kieckhefer_clm849,,[98r],,"quote: ""Ianua, Ymago, Gloria..."""
ymas,Ymas,spirit,1,kieckhefer_clm849,,48r,,role: uncertain; possibly variant of iam or iames
ymas / ymas,Ymas / Ymas,spirit,1,kieckhefer_clm849,,58r,,role: esoteric divine name
ynissamon (divine name),Ynissamon (divine name),spirit,1,kieckhefer_clm849,,79r,,function: used in hour names · rank: divine name
ypation,Ypation,spirit,1,kieckhefer_clm849,,36v,,"quote: ""...Ypation."""
yschiros,Yschiros,spirit,2,kieckhefer_clm849,,167|48r,,role: divine title (Greek: ἰσχυρός)
yschyros,Yschyros,spirit,1,kieckhefer_clm849,,[98r],,"quote: ""Otheos, Yschyros, Sanctus Deus..."""
yse,Yse,spirit,1,kieckhefer_clm849,,no. 37m/q,,role: helper to the winds
ysos,Ysos,spirit,1,kieckhefer_clm849,,[98r],,"quote: ""Ysos, Kyrie..."""
ysyornus,Ysyornus,spirit,1,kieckhefer_clm849,,p.21,,description: A mysterious divine or angelic name in consecration prayers
ytelteos,Ytelteos,spirit,1,kieckhefer_clm849,,[102v],,"quote: ""...Vzmyas, Ytelteos, Zymens..."""
yturaihel,Yturaihel,spirit,1,liber_juratus,,209,,"quote: ""Samael, Satiel, Yturaihel, Amabihel"""
yve,YVE,spirit,1,kieckhefer_clm849,,166,,"quote: ""...the name YVE, which Moses heard and spoke..."""
yvex,YVEX,spirit,1,kieckhefer_clm849,,166,,"quote: ""...and by the name YVEX, and with the name [Y]V[E]X, which Abraham heard..."""
zagam,Zagam,spirit,2,kieckhefer_clm849,,p. 101,,role: demon invoked in Liber de angelis love ritual; demonic spirit invoked in love magic
zaia,Zaia,spirit,1,kieckhefer_clm849,,p. 344–345,,role: ruler of sexta hora noctis
zaia (nocturnal hour),Zaia (nocturnal hour),spirit,1,kieckhefer_clm849,,78r,,function: plant magic · rank: hour ruler
zaimo,Zaimo,spirit,2,kieckhefer_clm849,,"20r|section 7, Demons and Daimons",,rank: spiritus armigeri
zambrim,Zambrim,spirit,2,kieckhefer_clm849,,63r,,function: obedience demanded in conjuration · rank: demonic ruler; spirit
zambrim et mambrim,Zambrim et Mambrim,spirit,1,kieckhefer_clm849,,166,,role: demonic figures
zanno,Zanno,spirit,6,kieckhefer_clm849,,"CLM 849, experiment no. 7; footnote 16|fol. 18v–19r|p. 207|p. 252–254|section 7, Demons and Daimons",,function: castle conjurer; invoked in castle ritual · role: spiritus armigeri; one of fifteen spirits invoked for castle ritual · rank: squire spirit; spiritus armigeri
zara,Zara,spirit,2,kieckhefer_clm849,,37r fig.|p. 207,,role: demonic spirit
zaraimayl,Zaraimayl,spirit,1,kieckhefer_clm849,,p. 347 (80r),,role: one of seven names inscribed on love magic images
zenit,Zenit,spirit,1,kieckhefer_clm849,,p. 349 (83r),,role: one of twelve names inscribed on crucible rim
zephata,Zephata,spirit,1,kieckhefer_clm849,,51r,,role: invoked in No. 27-B
zephirim,Zephirim,spirit,1,kieckhefer_clm849,,351r,,"quote: ""...Afonei, et Zephirim..."""
zerbanit,Zerbanit,spirit,1,garnier_1909,,p. xxiv (CONTENTS),,"quote: """"Zerbanit,"" ""Mother of the Seed"""""
zobha,Zobha,spirit,1,liber_juratus,,237,,function: excitans (raises spirits)
zoroaster (chaldean),Zoroaster (Chaldean),spirit,1,garnier_1909,,250,,"quote: """"The tyrant Zoroaster, of the line of Cham (Ham), was one of the founders of the Tower of Babel; he sacrificed"""
zymens,Zymens,spirit,1,kieckhefer_clm849,,[102v],,"quote: ""...Ytelteos, Zymens, Bylent..."""
antoninus of florence (book),Antoninus of Florence (book),text,1,kieckhefer_clm849,,invisibility cloak ritual description,,function: analogous reference for infested object
clementine homilies,Clementine Homilies,text,1,garnier_1909,,p. 204,,"quote: ""Clement, who is supposed to be the person of that name mentioned by the Apostle Paul..."""
clementine homilies (source),Clementine Homilies (source),text,1,garnier_1909,,p. 204,,"quote: ""a passage from the Clementine Homilies, quoted by Mr Pember, very clearly shows what was generally believed at"""
clm 849,Clm 849,text,1,kieckhefer_clm849,,implied by Kieckhefer’s reference to CLM 849 in title,,role: Munich codex; source of the rituals
greek magical papyrus,Greek magical papyrus,text,1,kieckhefer_clm849,,,,"quote: """"resembles a procedure well known in antiquity and described in a Greek magical papyrus..."""""
isis revelata,Isis Revelata,text,1,garnier_1909,,210,,"quote: ""'Isis Revelata,' published in 1836, 2 vols. 8vo"""
key of solomon,Key of Solomon,text,1,kieckhefer_clm849,,p. 26 (index),,function: ritual grimoire
liber consecrationum,Liber consecrationum,text,1,kieckhefer_clm849,,"pp. 8-10, 25, 29, 128 (index)",,function: ritual manual
liber de angelis,Liber de angelis,text,2,kieckhefer_clm849,,"p. 71, 22, 80, 86 (index)",,function: ritual manual
magic and witchcraft,Magic and Witchcraft,text,1,garnier_1909,,210,,"quote: ""'Magic and Witchcraft,' published in 1851, 2 vols. 8vo"""
on the flowers of all experiments,On the Flowers of All Experiments,text,1,kieckhefer_clm849,,p. 109,,role: source text
on the secret arts of the imaginary art,On the Secret Arts of the Imaginary Art,text,2,kieckhefer_clm849,,p. 109,,"quote: """"this experiment was taken [from the book] On the Secret Arts of the Imaginary Art, [from the book] On the Flo"""
rawlinson manuscript,Rawlinson manuscript,text,1,kieckhefer_clm849,,intro to experiment no. 10,,function: contains parallel necromantic procedures
rawlinson necromantic manuscript,Rawlinson necromantic manuscript,text,1,kieckhefer_clm849,,n/a (cited in Kieckhefer),,"quote: ""the spirits must be strictly enjoined not to defame any innocent parties."""
"a, q, o, p, e, v","A, Q, O, P, E, V",tool,1,kieckhefer_clm849,,50r,,role: characters to be written in ritual
abraxas gemstones,Abraxas Gemstones,tool,1,taschen_2003,,page 423,,"description: Gemstones featuring the magical name of Abraxas, often surrounded by the Ouroboros."
acus,acus,tool,1,kieckhefer_clm849,,fols 29v-31v,,"quote: ""faciat fieri magister ab artifice perito nouem acus"""
acus (needles),acus (needles),tool,1,kieckhefer_clm849,,"p. 267, No. 12",,"quote: ""...faciat magister ab artifice perito nouem acus..."""
alpha and omega,Alpha and Omega,tool,1,ars_notoria,,43,,"quote: ""write Alpha and Omega, and afterwards sleep on thy right side"""
anuli salomonis (rings of solomon),anuli Salomonis (Rings of Solomon),tool,1,kieckhefer_clm849,,48v–49r,,role: plural form; used in repeated conjurations
anulus aureus (golden ring),anulus aureus (golden ring),tool,1,kieckhefer_clm849,,"p. 261–263, No. 10",,"quote: ""Primo quidem ex auro anulum fieri facias..."""
anulus salomonis (ring of solomon),anulus Salomonis (Ring of Solomon),tool,1,kieckhefer_clm849,,48r,,role: symbolic authority in binding demons
bacimine (basin),bacimine (basin),tool,1,kieckhefer_clm849,,49r,,function: scrying vessel
baitulos (stone),Baitulos (stone),tool,1,garnier_1909,,251-252,,"quote: """"This stone was called in Grecian mythology 'Baitulos'…"""
bed of hay and ashes,Bed of Hay and Ashes,tool,1,liber_juratus,,183,,"quote: ""super cineres de fece mundatos de feno cubile faciat"""
bird heart,bird heart,tool,1,kieckhefer_clm849,,first experiment in manuscript,,role: writing instrument for inscribing cloth circle
bird's heart,bird's heart,tool,1,kieckhefer_clm849,,"Munich Handbook, CLM 849",,description: used as pen for writing
book of gold,Book of Gold,tool,1,ars_notoria,,38,,"quote: ""for Solomon received this from the Lord in the night of Pacification, ingraven in a book of Gold"""
bridle (magic),bridle (magic),tool,1,kieckhefer_clm849,,p. 73–74,,"quote: ""...go out with a bridle that has never been used..."""
bridle (never used),bridle (never used),tool,1,kieckhefer_clm849,,experiment no. 9,,function: instrument of control for spirit-horse
bronze bowl,bronze bowl,tool,1,kieckhefer_clm849,,Greek magical papyri section,,"quote: ""one should take a bronze bowl or saucer and fill it with water"""
bronze bowl/saucer,bronze bowl/saucer,tool,1,kieckhefer_clm849,,bowl divination reference (Greek papyri),,role: vessel for divination by reflection
bulla,bulla,tool,1,garnier_1909,,344,,function: especial symbol of the god
burning coals in pot,burning coals in pot,tool,1,kieckhefer_clm849,,p. 108,,function: for wax image formation
candela accensa (lit candle),candela accensa (lit candle),tool,1,kieckhefer_clm849,,47v,,role: used in bone-gazing ritual
candelabrum (candle),candelabrum (candle),tool,1,kieckhefer_clm849,,47v,,function: light source for scrying ritual
catenula ferrea (iron chain),Catenula ferrea (iron chain),tool,1,kieckhefer_clm849,,fol. 13r,,function: used to bind image in dignity ritual
censer,Censer,tool,1,kieckhefer_clm849,,Sworn Book reference (cited in text),,function: placed at cardinal points of circles
chalk,chalk,tool,1,kieckhefer_clm849,,Sworn Book and De nigromancia references (cited in text),,function: used to inscribe circles on ground
chalk diagram / circle,Chalk diagram / circle,tool,1,kieckhefer_clm849,,178–179,,function: protective boundary in exorcism
characters and unknown names,characters and unknown names,tool,1,kieckhefer_clm849,,text body,,function: used in conjurations
chasuble,Chasuble,tool,1,kieckhefer_clm849,,178–179,,function: garment for energumen in exorcism
cingulum sacerdotalis (priest’s girdle),cingulum sacerdotalis (priest’s girdle),tool,1,kieckhefer_clm849,,53r,,function: ritual binding of book
circle,circle,tool,4,kieckhefer_clm849|liber_juratus,yes,"18, 23, 25, 29, 36, 42, 44–53, 55–60, 57, 62–3, 70–1, 74, 80, 84–7, 91, 100, 103, 106, 110–13, 115–6, 141, 142, 187|239|CLM 849 experiments nos. 3,7,8,9,11|pp. 18-23, 25, 29, 36, 42–53, 55–60, 70–74, 80, 84n, 100, 103, 106, 110–13, 115, 117–19, 126, 128, 133, 139, 144, 159, 170–6, 178, 186–7 (index)",Circle|circle,function: protection; focus of power; terrifying spirits · purpose: ritual operation and defense
circle (hollow),Circle (Hollow),tool,1,liber_juratus,,280-283,,purpose: Where spirits come
circle (ritual space),circle (ritual space),tool,1,kieckhefer_clm849,,experiments 38–40,,role: protected ritual space for medium
circle (ritual),circle (ritual),tool,2,kieckhefer_clm849,,p. 106|p. 107–108,,function: location for conjuration and rendezvous · role: protective space for conjuration; also used to receive woman
circulus (ritual circle),circulus (ritual circle),tool,1,kieckhefer_clm849,,232–234,,function: protective boundary
clauus plutonis,clauus Plutonis,tool,1,kieckhefer_clm849,,fol 44v,,"quote: ""Sume tibi ferrum inventum ex inprouisu, et fac tibi fieri clauem huiusmodi, factam die Veneris."""
clean linen cloth,clean linen cloth,tool,1,kieckhefer_clm849,,,,role: wraps images
confiteor,Confiteor,tool,1,kieckhefer_clm849,,"[54r], [136v]",,function: penitential prayer recited during consecration
consecrated ring,consecrated ring,tool,1,kieckhefer_clm849,,,,function: causes living person to appear dead; revives corpse for up to six days
cristallus,cristallus,tool,1,kieckhefer_clm849,,"43r–44r (No. 24, 25)",,"quote: ""Si vis scire de omni re de qua dubitaueris, accipe puerum virginem et cristallum, quem laua cum vino."""
cross,Cross,tool,2,garnier_1909|kieckhefer_clm849,yes,"213-245|[59v, 60r]",,function: instrument of binding and protection
crystal,crystal,tool,1,kieckhefer_clm849,,"n/a (Munich Handbook Clm 849, Expt. 24–25)",,"quote: ""the master first takes a crystal and washes it with wine, then he writes certain names of Christ on it with ol"""
crystallum,crystallum,tool,1,kieckhefer_clm849,,"fols 43r-v, 43v-44r",,"quote: ""accipe puerum virginem et cristallum, quern laua cum vino. Deinde scribe in illo cum oleo oliue hec nomina: Ho"""
cultellus (knife),Cultellus (Knife),tool,1,kieckhefer_clm849,,67v–68v,,"quote: ""habeat cultellum cum manubrio albo uel nigro"""
cultellus cum manubrio albo uel nigro,cultellus cum manubrio albo uel nigro,tool,1,kieckhefer_clm849,,67v–68r,,function: used to inscribe circles and divine names
cultellus de venere factus,cultellus de Venere factus,tool,1,kieckhefer_clm849,,"281 (No. 20), 282 (No. 21)",,"quote: ""...abscide cor cum cultello qui sit de Venere facto..."""
cultellus nigerrimus vel albus,cultellus nigerrimus vel albus,tool,1,kieckhefer_clm849,,fol 41r,,"quote: ""recipe cultellum cum manubrio nigro vel albo, et facias circulum in terra..."""
documentum,documentum,tool,1,kieckhefer_clm849,,[55r],,function: written instruction or model used for ritual preparation
eagle quill,eagle quill,tool,2,kieckhefer_clm849,,folog 8r–11v,,role: writing implement for inscribing demon names
eagle’s quill,eagle’s quill,tool,1,kieckhefer_clm849,,p. 103,,role: used to write on image
ense,ense,tool,1,kieckhefer_clm849,,fols 28r-29v,,"quote: ""fingas versus occidentem super Firiel dictum ensem"""
ense (sword),ense (sword),tool,1,kieckhefer_clm849,,"p. 261, p. 264",,"quote: ""...cum quodam ense... scribe cum dicto ense nomina et figura[s]..."""
ensem lucidissimum (very bright sword),Ensem lucidissimum (very bright sword),tool,1,kieckhefer_clm849,,fol. 15v–16r,,function: used in banquet ritual to inscribe names and draw circles
ensis (sword),ensis (sword),tool,1,kieckhefer_clm849,,231–234,,"function: ritual object, held under head"
eucharist / hostia sancta,Eucharist / Hostia Sancta,tool,1,kieckhefer_clm849,,[61v],,function: ritual object invoked for power
ferrum (iron),Ferrum (iron),tool,1,kieckhefer_clm849,,fol. 12r,,function: used for stylus in dignity ritual
figure of memory,Figure of Memory,tool,1,ars_notoria,,46,,"quote: ""The manner of Consecrating the Figure of Memory. It ought to be consecrated with great faith hope and charity"""
floron,Floron,tool,1,kieckhefer_clm849,,Table A (experiments 18–20),,function: mirror for revelation
frenum (bridle),frenum (bridle),tool,1,kieckhefer_clm849,,"p. 259–260, No. 9",,"quote: ""Volo eciam tibi mitterea quomodo equus... possit haberi..."""
gemeliath,Gemeliath,tool,1,ars_notoria,,28,,"quote: ""Gemeliath, that is, in the Book of the Art of God"""
gladius (sword),Gladius (Sword),tool,1,liber_juratus,,"258, 260",,"quote: ""Then place one sword towards each direction, and they must be equalized in height"""
gold ring,gold ring,tool,1,kieckhefer_clm849,,25v,,"quote: ""Primo quidem ex auro anulum fieri facias. Eciam sculpta sint- in parte- exteriori hec nominal Brimer, Suburith"""
gold ring (ritual object),gold ring (ritual object),tool,1,kieckhefer_clm849,,p. 80–81,,"quote: ""...have a ring made of gold. Around the outside these names should be carved..."""
golden seal,Golden Seal,tool,1,ars_notoria,,40,,"quote: ""upon every Oration the sign of a golden Seal"""
heptagon,Heptagon,tool,1,liber_juratus,,241,,purpose: suitable for all invocations
hoc est candela,Hoc est candela,tool,1,kieckhefer_clm849,,"CLM 849, experiment no. 2",,function: label for candle in diagram
hoopoe,Hoopoe,tool,1,kieckhefer_clm849,,no. 6,,"quote: ""the hoopoe is possessed of great virtue for necromancers and invokers of demons... on which account we use it """
horse bridle (unused),horse bridle (unused),tool,1,kieckhefer_clm849,,23v,,"quote: ""cum quodam freno nunquam operato, et in loco secreto cum quodam clauo siue stilo ferreo fac circulum..."""
horsehair,horsehair,tool,2,kieckhefer_clm849,,p. 105,,role: suspension cord for image; used to suspend image
hundred names of god,Hundred Names of God,tool,1,liber_juratus,,183,,"quote: ""in circuitu lecti sint in cineribus scripta centum nomina Dei"""
incense and censer,incense and censer,tool,1,liber_juratus,,245,,"quote: ""Then you should have incense and a censer, in which should be glowing charcoals"""
iron chain,iron chain,tool,3,kieckhefer_clm849,,p. 98|p. 99,,role: binds image of target to magician’s image; used to bind image of dignitary to magician’s image
iron key or stylus,iron key or stylus,tool,1,kieckhefer_clm849,,23v,,"quote: ""cum quodam clauo siue stilo ferreo fac circulum, vt hie apparet,- sculpiens in eo nomina et figuras ibidem app"""
iron stylus,iron stylus,tool,5,kieckhefer_clm849,,fols 10r–10v|p. 106|p. 97,,role: used to inscribe names on image; used to trace circle; used to trace protective circle
iron stylus / nail,iron stylus / nail,tool,1,kieckhefer_clm849,,experiment no. 9,,function: used to trace circle
john dee’s ‘show-stone’,John Dee’s ‘show-stone’,tool,1,kieckhefer_clm849,,p. 120,,function: medium for angelic communication
keys (ritual use),keys (ritual use),tool,1,kieckhefer_clm849,,,,"quote: ""With two keys he had traced her image, in a manner and form which he explained in the examination..."""
knife,knife,tool,1,kieckhefer_clm849,,"p. 371 (97r), p. 376 (100r)",,role: used to rasp fingernail and inscribe names
knife (black- or white-horn handle),knife (black- or white-horn handle),tool,1,kieckhefer_clm849,,,,"role: used to scrape nails, inscribe parchment"
knife with horn handle,knife with horn handle,tool,1,kieckhefer_clm849,,Experiment no. 39,,"quote: ""scrapes the boy’s right thumbnail, using a knife with a handle of black or white horn"""
lamps,lamps,tool,1,kieckhefer_clm849,,text body,,function: lighting for conjurations
linteum candidissimum (very white linen cloth),Linteum candidissimum (very white linen cloth),tool,1,kieckhefer_clm849,,fol. 12r,,function: used to wrap image in dignity ritual
magic circle,magic circle,tool,1,kieckhefer_clm849,,pp. 203–211,,"function: protection, power focus, spirit control"
magic circle with names and figures,magic circle with names and figures,tool,1,kieckhefer_clm849,,p. 74–75,,"quote: ""...if the circle given above is inscribed on horsehide with the blood of a horse and with the tooth of a white"""
mirror of floron,Mirror of Floron,tool,2,kieckhefer_clm849,,"41–42|n/a (Munich Handbook Clm 849, Expt. 18)",Mirror of Floron|mirror of Floron,"quote: ""Have a mirror made of pure steel, measuring one palm around... have it bright and shiny like a sword... anoint"""
mirrors,mirrors,tool,2,kieckhefer_clm849,,"4, 28, 29, 61, 97–100, 103–8, 110, 112, 178|p. 28, 29, 61, 97-100, 103-8, 110, 112 (index)",,function: used in scrying and illusionist experiments
needles (9 or 13),needles (9 or 13),tool,1,kieckhefer_clm849,,,,"quote: """"fix the needles in the image... nine needles made by an experienced craftsman"""""
